n1,n2,count
9,16,8
11,46,8
1,47,8
33,44,8
7,32,8
8,9,8
8,44,8
28,30,8
13,19,8
1,21,8
8,17,8
10,40,8
29,46,8
21,25,8
23,25,8
36,44,8
38,46,8
23,30,8
31,35,8
29,31,8
25,44,8
1,30,8
19,49,8
11,39,8
16,32,8
15,46,8
3,29,8
4,32,8
25,27,8
2,12,8
1,27,8
21,27,8
8,26,8
11,15,8
18,24,7
39,40,7
9,42,7
19,47,7
27,34,7
31,33,7
2,21,7
40,43,7
24,48,7
11,37,7
20,48,7
17,42,7
26,34,7
15,40,7
36,42,7
7,48,7
7,27,7
40,44,7
3,45,7
3,43,7
23,37,7
18,25,7
20,28,7
19,39,7
4,25,7
22,31,7
26,33,7
8,38,7
1,28,7
2,32,7
36,41,7
27,37,7
12,46,7
2,15,7
24,35,7
45,48,7
15,49,7
31,47,7
32,36,7
1,2,7
5,22,7
36,38,7
4,12,7
34,45,7
23,39,7
6,33,7
1,3,7
13,30,7
10,47,7
21,22,7
5,39,7
11,36,7
17,19,7
7,21,7
40,41,7
14,20,7
44,48,7
10,46,7
3,16,7
4,39,7
28,49,7
11,22,7
33,34,7
3,26,7
29,43,7
33,49,7
23,38,7
17,28,7
4,18,7
28,39,7
21,38,7
11,16,7
10,48,7
16,47,7
42,48,7
6,45,7
1,40,7
7,49,7
3,37,7
11,44,7
29,36,7
7,10,7
35,47,7
1,43,7
11,14,7
17,41,7
21,44,7
5,14,7
7,38,7
10,35,7
2,44,7
16,33,7
4,33,7
5,30,7
5,23,7
22,24,7
2,45,7
22,43,7
5,45,7
2,40,7
4,14,7
6,46,7
7,36,7
7,33,7
10,22,7
21,49,7
32,41,7
5,16,7
15,28,7
1,34,7
14,18,7
7,40,7
28,36,7
27,30,7
32,38,7
17,36,7
12,27,7
25,29,7
21,29,7
33,36,7
39,46,7
4,6,7
23,47,7
38,49,7
36,43,7
9,37,7
29,47,7
7,20,7
40,42,7
5,35,7
30,36,7
8,40,7
29,49,7
26,41,7
6,39,7
17,45,7
17,24,7
20,31,7
8,33,7
27,32,7
13,34,7
10,44,7
35,36,7
28,32,7
17,32,7
45,49,7
30,44,7
8,15,7
26,37,7
8,22,7
1,8,7
13,21,7
37,42,7
19,30,7
9,11,7
24,30,7
42,45,7
19,36,7
7,22,7
14,21,7
18,37,7
19,20,7
8,14,7
16,30,7
33,35,7
20,38,7
4,8,7
9,29,7
15,22,7
6,30,7
6,9,7
17,27,7
37,43,7
14,16,7
17,48,7
5,47,7
16,19,7
36,48,7
43,48,7
20,42,7
6,44,7
14,26,7
9,34,7
27,36,7
1,9,7
17,25,7
27,49,7
7,46,7
26,48,7
27,47,7
11,43,7
6,11,7
8,16,7
12,34,7
16,31,7
18,31,7
46,49,7
10,37,6
19,48,6
26,49,6
29,41,6
9,21,6
2,25,6
7,39,6
26,47,6
9,25,6
3,44,6
12,30,6
22,25,6
20,37,6
4,20,6
15,18,6
2,31,6
12,19,6
16,20,6
26,43,6
30,39,6
26,29,6
19,27,6
12,33,6
3,33,6
27,39,6
6,22,6
18,21,6
34,46,6
13,16,6
27,28,6
14,35,6
38,42,6
14,38,6
33,39,6
1,6,6
16,29,6
1,38,6
18,47,6
4,34,6
23,41,6
2,8,6
15,36,6
25,41,6
18,42,6
21,43,6
14,24,6
12,37,6
39,44,6
7,18,6
1,4,6
35,49,6
1,23,6
9,30,6
21,42,6
2,14,6
6,29,6
2,9,6
16,43,6
28,48,6
11,41,6
31,32,6
22,49,6
18,46,6
2,49,6
4,19,6
44,47,6
33,48,6
1,11,6
2,29,6
5,18,6
46,48,6
6,34,6
4,40,6
4,5,6
5,43,6
6,8,6
5,40,6
22,45,6
9,23,6
44,45,6
6,19,6
15,21,6
37,49,6
27,42,6
17,40,6
27,31,6
15,42,6
17,21,6
21,30,6
30,46,6
15,35,6
1,5,6
13,32,6
14,30,6
24,47,6
1,44,6
6,26,6
2,42,6
23,48,6
5,20,6
3,10,6
2,36,6
35,37,6
47,49,6
26,44,6
33,45,6
20,22,6
13,18,6
37,48,6
28,31,6
20,45,6
19,43,6
41,48,6
19,40,6
1,19,6
2,6,6
19,23,6
7,17,6
4,16,6
15,27,6
13,25,6
9,38,6
8,12,6
11,13,6
16,38,6
35,43,6
2,11,6
23,49,6
24,44,6
8,20,6
21,34,6
30,33,6
10,32,6
2,26,6
43,44,6
1,25,6
14,25,6
28,44,6
10,45,6
37,39,6
16,22,6
14,31,6
15,26,6
3,38,6
1,32,6
14,22,6
13,17,6
11,20,6
1,22,6
17,46,6
32,48,6
14,32,6
21,36,6
5,48,6
43,47,6
42,46,6
32,39,6
5,27,6
3,11,6
16,28,6
9,27,6
2,27,6
1,20,6
22,48,6
15,38,6
24,25,6
19,25,6
36,49,6
17,29,6
19,21,6
13,33,6
2,7,6
12,40,5
14,37,5
20,39,5
21,37,5
1,37,5
12,23,5
5,31,5
